id,name,url,difficulty,topics,routes,acceptance_rate,c_rate,my_rate,notes,explanation,solved,my_solution
1,Two Sum,https://www.leetcode.com/problems/two-sum,Easy,"Array, Hash Table","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",49.07%,151.07,141.07,,,TRUE,
13,Roman to Integer,https://www.leetcode.com/problems/roman-to-integer,Easy,"Hash Table, Math, String",Top Interview,58.24%,118.24,100.24,,,TRUE,
20,Valid Parentheses,https://www.leetcode.com/problems/valid-parentheses,Easy,"String, Stack","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",40.67%,136.67,126.67,"push opening brace on stack, pop if matching close brace, at end if stack empty, return true;",https://youtu.be/WTzjTskDFMg,TRUE,
21,Merge Two Sorted Lists,https://www.leetcode.com/problems/merge-two-sorted-lists,Easy,"Linked List, Recursion","Top Liked,Top Interview,Blind 75, Grind 75",61.85%,145.85,125.85,insert each node from one list into the other,https://youtu.be/XIdigk956u0,TRUE,
35,Search Insert Position,https://www.leetcode.com/problems/search-insert-position,Easy,"Array, Binary Search","Sixty Basic,Top Liked",42%,110.00,102.00,,https://www.youtube.com/watch?v=K-RYzDZkzCI,TRUE,
121,Best Time to Buy and Sell Stock,https://www.leetcode.com/problems/best-time-to-buy-and-sell-stock,Easy,"Array, DP","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",54.47%,140.47,130.47,"find local min and search for local max, sliding window;",https://youtu.be/1pkOgXD63yU,TRUE,
125,Valid Palindrome,https://www.leetcode.com/problems/valid-palindrome,Easy,"Two Pointers, String","Top Interview,Blind 75, Grind 75",43.59%,111.59,91.59,"left, right pointers, update left and right until each points at alphanum, compare left and right, continue until left >= right, don’t distinguish between upper/lowercase;",https://youtu.be/jJXJ16kPFWg,TRUE,
169,Majority Element,https://www.leetcode.com/problems/majority-element,Easy,"Array, Hash Table, Divide and Conquer, Sorting, Counting","Top Liked,Top Interview",63.84%,143.84,125.84,,,TRUE,
217,Contains Duplicate,https://www.leetcode.com/problems/contains-duplicate,Easy,"Array, Hash Table, Sorting","Top Interview,Blind 75, Grind 75",61.28%,161.28,141.28,"hashset to get unique values in array, to check for duplicates easily",https://youtu.be/3OamzN90kPg,TRUE,
242,Valid Anagram,https://www.leetcode.com/problems/valid-anagram,Easy,"Hash Table, String, Sorting","Top Interview,Blind 75, Grind 75",62.73%,156.73,136.73,"hashmap to count each char in str1, decrement for str2;",https://youtu.be/9UtInBqnCgA,TRUE,
704,Binary Search,https://www.leetcode.com/problems/hexspeak,Easy,"Array, Binary Search",Grind 75,55.07%,123.07,105.07,,,TRUE,
41,First Missing Positive,https://www.leetcode.com/problems/first-missing-positive,Hard,"Array, Hash Table","Top Liked,Top Interview",36.53%,71.53,62.53,,,TRUE,
206,Reverse Linked List,https://www.leetcode.com/problems/reverse-linked-list,Easy,"Linked List, Recursion","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",72.43%,164.43,154.43,"iterate through maintaining cur and prev; recursively reverse, return new head of list",https://youtu.be/G0_I-ZF0S38,TRUE,
347,Top K Frequent Elements,https://www.leetcode.com/problems/top-k-frequent-elements,Medium,"Array, Hash Table, Divide and Conquer, Sorting, Priority Queue, Bucket Sort, Counting, Quickselect","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",64.80%,148.80,141.30,"minheap that’s kept at size k, if its bigger than k pop the min, by the end it should be left with k largest;",https://youtu.be/YPTqKIgVk-k,TRUE,
2,Add Two Numbers,https://www.leetcode.com/problems/add-two-numbers,Medium,"Linked List, Math, Recursion","Sixty Basic,Top Liked,Top Interview",39.76%,77.26,84.76,,,,
3,Longest Substring Without Repeating Characters,https://www.leetcode.com/problems/longest-substring-without-repeating-characters,Medium,"Hash Table, String, Sliding Window","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",33.78%,92.28,98.28,"sliding window, if we see same char twice within curr window, shift start position;",https://youtu.be/wiGpQwVHdE0,,
4,Median of Two Sorted Arrays,https://www.leetcode.com/problems/median-of-two-sorted-arrays,Hard,"Array, Binary Search, Divide and Conquer","Top Liked,Top Interview",35.23%,61.23,61.23,,,,
5,Longest Palindromic Substring,https://www.leetcode.com/problems/longest-palindromic-substring,Medium,"String, DP","Top Liked,Top Interview,Blind 75, Grind 75",32.41%,72.91,71.41,"foreach char in str, consider it were the middle, consider if pali was odd or even;",https://youtu.be/XYQecbcd6_c,,
6,Zigzag Conversion,https://www.leetcode.com/problems/zigzag-conversion,Medium,String,Sixty Basic,43.08%,61.08,68.58,,,,
7,Reverse Integer,https://www.leetcode.com/problems/reverse-integer,Medium,Math,Top Interview,27.22%,36.22,36.22,,,,
8,String to Integer (atoi),https://www.leetcode.com/problems/string-to-integer-atoi,Medium,String,"Sixty Basic,Top Interview",16.62%,42.12,49.62,,,,
10,Regular Expression Matching,https://www.leetcode.com/problems/regular-expression-matching,Hard,"String, DP, Recursion",Top Interview,28.24%,46.24,46.24,,,,
